Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
rezygnacje,10%,all_knn,MLP,0.7992,0.0161,9
rezygnacje,10%,all_knn,NB,0.7691,0.0032,9
rezygnacje,10%,all_knn,RF,0.8367,0.0081,9
rezygnacje,10%,all_knn,XGBoost,0.8432,0.0076,9
rezygnacje,10%,fill,MLP,0.4809,0.013,9
rezygnacje,10%,fill,NB,0.6038,0.0117,9
rezygnacje,10%,fill,RF,0.8543,0.004,9
rezygnacje,10%,fill,XGBoost,0.8584,0.006,9
rezygnacje,10%,fill_knn,MLP,0.484,0.0078,9
rezygnacje,10%,fill_knn,NB,0.6049,0.0115,9
rezygnacje,10%,fill_knn,RF,0.8557,0.0048,9
rezygnacje,10%,fill_knn,XGBoost,0.858,0.0067,9
rezygnacje,10%,fill_norm,MLP,0.5425,0.0318,9
rezygnacje,10%,fill_norm,NB,0.5884,0.0109,9
rezygnacje,10%,fill_norm,RF,0.8541,0.004,9
rezygnacje,10%,fill_norm,XGBoost,0.8584,0.006,9
rezygnacje,10%,raw,MLP,0.4939,0.0159,9
rezygnacje,10%,raw,NB,0.6009,0.0083,9
rezygnacje,10%,raw,RF,0.86,0.003,9
rezygnacje,10%,raw,XGBoost,0.8691,0.0063,9
rezygnacje,10%,remove_fill,MLP,0.6308,0.047,9
rezygnacje,10%,remove_fill,NB,0.7684,0.0034,9
rezygnacje,10%,remove_fill,RF,0.8349,0.0086,9
rezygnacje,10%,remove_fill,XGBoost,0.8425,0.0104,9
rezygnacje,20%,all,MLP,0.7514,0.0329,9
rezygnacje,20%,all,NB,0.771,0.0095,9
rezygnacje,20%,all,RF,0.8078,0.0133,9
rezygnacje,20%,all,XGBoost,0.8171,0.0136,9
rezygnacje,20%,all_knn,MLP,0.7545,0.0371,9
rezygnacje,20%,all_knn,NB,0.7705,0.0103,9
rezygnacje,20%,all_knn,RF,0.8111,0.0156,9
rezygnacje,20%,all_knn,XGBoost,0.8147,0.0162,9
rezygnacje,20%,fill,MLP,0.492,0.0208,9
rezygnacje,20%,fill,NB,0.5961,0.0118,9
rezygnacje,20%,fill,RF,0.8062,0.0127,9
rezygnacje,20%,fill,XGBoost,0.8125,0.007,9
rezygnacje,20%,fill_knn,MLP,0.4955,0.0179,9
rezygnacje,20%,fill_knn,NB,0.5974,0.0118,9
rezygnacje,20%,fill_knn,RF,0.7983,0.0116,9
rezygnacje,20%,fill_knn,XGBoost,0.8118,0.0062,9
rezygnacje,20%,fill_norm,MLP,0.5472,0.0309,9
rezygnacje,20%,fill_norm,NB,0.5775,0.0137,9
rezygnacje,20%,fill_norm,RF,0.8062,0.0127,9
rezygnacje,20%,fill_norm,XGBoost,0.8125,0.007,9
rezygnacje,20%,raw,MLP,0.4968,0.0182,9
rezygnacje,20%,raw,NB,0.5989,0.0116,9
rezygnacje,20%,raw,RF,0.8121,0.0125,9
rezygnacje,20%,raw,XGBoost,0.8197,0.0025,9
rezygnacje,20%,remove_fill,MLP,0.6399,0.0389,9
rezygnacje,20%,remove_fill,NB,0.771,0.0095,9
rezygnacje,20%,remove_fill,RF,0.808,0.0133,9
rezygnacje,20%,remove_fill,XGBoost,0.8171,0.0136,9
rezygnacje,30%,all,MLP,0.6816,0.045,9
rezygnacje,30%,all,NB,0.7275,0.0108,9
rezygnacje,30%,all,RF,0.7599,0.0095,9
rezygnacje,30%,all,XGBoost,0.7763,0.0095,9
rezygnacje,30%,all_knn,MLP,0.6863,0.0409,9
rezygnacje,30%,all_knn,NB,0.7291,0.0093,9
rezygnacje,30%,all_knn,RF,0.7628,0.0101,9
rezygnacje,30%,all_knn,XGBoost,0.7693,0.014,9
rezygnacje,30%,fill,MLP,0.5049,0.0119,9
rezygnacje,30%,fill,NB,0.5878,0.0221,9
rezygnacje,30%,fill,RF,0.7471,0.0096,9
rezygnacje,30%,fill,XGBoost,0.7652,0.0128,9
rezygnacje,30%,fill_knn,MLP,0.5055,0.0117,9
rezygnacje,30%,fill_knn,NB,0.5912,0.0225,9
rezygnacje,30%,fill_knn,RF,0.7231,0.007,9
rezygnacje,30%,fill_knn,XGBoost,0.7512,0.0106,9
rezygnacje,30%,fill_norm,MLP,0.5111,0.0289,9
rezygnacje,30%,fill_norm,NB,0.562,0.025,9
rezygnacje,30%,fill_norm,RF,0.747,0.0094,9
rezygnacje,30%,fill_norm,XGBoost,0.7652,0.0128,9
rezygnacje,30%,raw,MLP,0.4893,0.0144,9
rezygnacje,30%,raw,NB,0.5834,0.0234,9
rezygnacje,30%,raw,RF,0.7422,0.0125,9
rezygnacje,30%,raw,XGBoost,0.7648,0.0177,9
rezygnacje,30%,remove_fill,MLP,0.6114,0.037,9
rezygnacje,30%,remove_fill,NB,0.7275,0.0108,9
rezygnacje,30%,remove_fill,RF,0.7599,0.0096,9
